GALBV00,101,0010500,00000000185+,00000000481+,China Carving Lab ÀJªá¤u ,5,HRS ,19980902 

GALBV00,101,0010500,00000001500+,00000003900+,China Carving Lab ÀJªá¤u ,5,HRS ,19980902 

GALBV00,101,0010500,00000002000+,00000005200+,China Carving Lab ÀJªá¤u ,5,HRS ,19980903 

GALBV00,101,0010500,00000000240+,00000000624+,China Carving Lab ÀJªá¤u ,5,HRS ,19980903 

GALBV00,101,0010700,00000000160+,00000000504+,China Veneer Lab Á¡¥Ö¤u  ,5,HRS ,19980821 

GALBV00,102,H13-00 ,00000000000+,00000000425+,3/2" ¶Â"¤Q"¤ìÁ³µ·        ,2,¤d²É,19980826 

GALBV00,102,H13-00 ,00000000000+,00000000500+,NO.2 "¤Q"§å©C            ,2,¤ä  ,19980826 

GALBV00,102,H13-00 ,00000000000+,00000000550+,2" ¶Â"¤Q"¤ìÁ³µ·          ,2,¤d²É,19980826 

GALBV00,102,H13-00 ,00000000000+,00000001000+,NO.2 "¤Q"§å©C            ,2,¤ä  ,19980831 

GALBV00,102,H13-00 ,00000000000+,00000000360+,#150 ¬õ¬â¯È              ,2,±i  ,19980902 

GALBV00,102,H13-00 ,00000000000+,00000000032+,1" 3CM ¦Ç¦â¥§Às°v        ,2,²É  ,19980913 

GALBV00,102,H13-00 ,00000000000+,00000000570+,3/4" ½¦¯È                ,2,¨÷  ,19980823 

GALBV00,102,H13-00 ,00000000000+,00000000050+,¤ì¤u¹]µ§                 ,2,¤ä  ,19980823 

GALBV00,102,H13-00 ,00000000000+,00000006298+,#80 175X2135 SIA2920¬â±a ,2,±ø  ,19980824 

GALBV00,102,h13-00 ,00000000000+,00000001450+,A A ½¦                   ,2,¤ä  ,19980825 

GALBV00,102,H13-00 ,00000000000+,00000000600+,#40 £p100X16 ¥¬¬âºÐ      ,2,¤ù  ,19980912 

GALBV00,102,h13-00 ,00000000000+,00000001450+,A A ½¦                   ,2,¤ä  ,19980913 

GALBV00,102,P01-00 ,00000000000+,00000001215+,#120¬õ¥¬¬â               ,2,M   ,19980826 

GALBV00,102,0008150,00000000800+,00000002993+,¦è¼wPUPL-03¬I®³¤         , ,KG  ,19980916 

GALBV00,102,0008150,00000002500+,00000009353+,¦è¼wPUPL-03¬I®³¤         , ,KG  ,19980916 

GALBV00,102,0008150,00000001000+,00000003741+,¦è¼wPUPL-03¬I®³¤         , ,KG  ,19980917 

GALBV00,102,P01-00 ,00000000000+,00000000094+,«Cª÷¯»                   ,2,¦Ê§J,19980918 

GALBV00,102,P01-00 ,00000000000+,00000001916+,NC04¤Ñ®³¤ô               ,2,KG  ,19980918 

GALBV00,102,P01-00 ,00000000000+,00000000092+,¬õª÷¯»                   ,2,¦Ê§J,19980918 

GALBV00,102,0008150,00000001800+,00000003575+,¦è¼wÀY«×¤O¬[40  ô        , ,KG  ,19980919 

GALBV00,102,P01-00 ,00000000000+,00000000474+,#180¦Ç¬â¯È               ,2,±i  ,19980920 

GALBV00,102,P01-00 ,00000000000+,00000000237+,#240¦Ç¬â¯È               ,2,±i  ,19980920 

GALBV00,102,P01-00 ,00000000000+,00000000120+,#320¦Ç¬â¯È               ,2,±i  ,19980920 

GALBV00,102,P01-00 ,00000000000+,00000000729+,#120¬õ¥¬¬â               ,2,M   ,19980920 

